race,gender,rel,ses,cond,phq8_total
White,Cisgender Man,Partnered,Low,baseline,16
White,Cisgender Man,Partnered,Low,clamp10,13
White,Cisgender Man,Partnered,Low,clamp20,13
White,Cisgender Man,Partnered,Low,clamp50,12
White,Cisgender Man,Partnered,Low,clamp50x5,13
White,Cisgender Man,Partnered,Low,rand10,16
White,Cisgender Man,Partnered,High,baseline,9
White,Cisgender Man,Partnered,High,reverse10,9
White,Cisgender Man,Partnered,High,rand10,9
White,Cisgender Man,Single,Low,baseline,16
White,Cisgender Man,Single,Low,clamp10,16
White,Cisgender Man,Single,Low,clamp20,13
White,Cisgender Man,Single,Low,clamp50,13
White,Cisgender Man,Single,Low,clamp50x5,
White,Cisgender Man,Single,Low,rand10,16
White,Cisgender Man,Single,High,baseline,9
White,Cisgender Man,Single,High,reverse10,9
White,Cisgender Man,Single,High,rand10,9
White,Cisgender Woman,Partnered,Low,baseline,16
White,Cisgender Woman,Partnered,Low,clamp10,13
White,Cisgender Woman,Partnered,Low,clamp20,13
White,Cisgender Woman,Partnered,Low,clamp50,13
White,Cisgender Woman,Partnered,Low,clamp50x5,13
White,Cisgender Woman,Partnered,Low,rand10,16
White,Cisgender Woman,Partnered,High,baseline,10
White,Cisgender Woman,Partnered,High,reverse10,11
White,Cisgender Woman,Partnered,High,rand10,10
White,Cisgender Woman,Single,Low,baseline,16
White,Cisgender Woman,Single,Low,clamp10,16
White,Cisgender Woman,Single,Low,clamp20,16
White,Cisgender Woman,Single,Low,clamp50,15
White,Cisgender Woman,Single,Low,clamp50x5,
White,Cisgender Woman,Single,Low,rand10,16
White,Cisgender Woman,Single,High,baseline,11
White,Cisgender Woman,Single,High,reverse10,11
White,Cisgender Woman,Single,High,rand10,10
Black,Cisgender Man,Partnered,Low,baseline,16
Black,Cisgender Man,Partnered,Low,clamp10,13
Black,Cisgender Man,Partnered,Low,clamp20,13
Black,Cisgender Man,Partnered,Low,clamp50,12
Black,Cisgender Man,Partnered,Low,clamp50x5,13
Black,Cisgender Man,Partnered,Low,rand10,16
Black,Cisgender Man,Partnered,High,baseline,9
Black,Cisgender Man,Partnered,High,reverse10,9
Black,Cisgender Man,Partnered,High,rand10,9
Black,Cisgender Man,Single,Low,baseline,16
Black,Cisgender Man,Single,Low,clamp10,13
Black,Cisgender Man,Single,Low,clamp20,13
Black,Cisgender Man,Single,Low,clamp50,13
Black,Cisgender Man,Single,Low,clamp50x5,
Black,Cisgender Man,Single,Low,rand10,16
Black,Cisgender Man,Single,High,baseline,9
Black,Cisgender Man,Single,High,reverse10,9
Black,Cisgender Man,Single,High,rand10,9
Black,Cisgender Woman,Partnered,Low,baseline,16
Black,Cisgender Woman,Partnered,Low,clamp10,13
Black,Cisgender Woman,Partnered,Low,clamp20,13
Black,Cisgender Woman,Partnered,Low,clamp50,13
Black,Cisgender Woman,Partnered,Low,clamp50x5,13
Black,Cisgender Woman,Partnered,Low,rand10,16
Black,Cisgender Woman,Partnered,High,baseline,10
Black,Cisgender Woman,Partnered,High,reverse10,9
Black,Cisgender Woman,Partnered,High,rand10,10
Black,Cisgender Woman,Single,Low,baseline,16
Black,Cisgender Woman,Single,Low,clamp10,16
Black,Cisgender Woman,Single,Low,clamp20,13
Black,Cisgender Woman,Single,Low,clamp50,13
Black,Cisgender Woman,Single,Low,clamp50x5,
Black,Cisgender Woman,Single,Low,rand10,16
Black,Cisgender Woman,Single,High,baseline,10
Black,Cisgender Woman,Single,High,reverse10,10
Black,Cisgender Woman,Single,High,rand10,10
Hispanic,Cisgender Man,Partnered,Low,baseline,15
Hispanic,Cisgender Man,Partnered,Low,clamp10,13
Hispanic,Cisgender Man,Partnered,Low,clamp20,13
Hispanic,Cisgender Man,Partnered,Low,clamp50,12
Hispanic,Cisgender Man,Partnered,Low,clamp50x5,13
Hispanic,Cisgender Man,Partnered,Low,rand10,15
Hispanic,Cisgender Man,Partnered,High,baseline,9
Hispanic,Cisgender Man,Partnered,High,reverse10,9
Hispanic,Cisgender Man,Partnered,High,rand10,9
Hispanic,Cisgender Man,Single,Low,baseline,16
Hispanic,Cisgender Man,Single,Low,clamp10,13
Hispanic,Cisgender Man,Single,Low,clamp20,13
Hispanic,Cisgender Man,Single,Low,clamp50,13
Hispanic,Cisgender Man,Single,Low,clamp50x5,
Hispanic,Cisgender Man,Single,Low,rand10,16
Hispanic,Cisgender Man,Single,High,baseline,10
Hispanic,Cisgender Man,Single,High,reverse10,9
Hispanic,Cisgender Man,Single,High,rand10,10
Hispanic,Cisgender Woman,Partnered,Low,baseline,15
Hispanic,Cisgender Woman,Partnered,Low,clamp10,13
Hispanic,Cisgender Woman,Partnered,Low,clamp20,13
Hispanic,Cisgender Woman,Partnered,Low,clamp50,13
Hispanic,Cisgender Woman,Partnered,Low,clamp50x5,
Hispanic,Cisgender Woman,Partnered,Low,rand10,15
Hispanic,Cisgender Woman,Partnered,High,baseline,11
Hispanic,Cisgender Woman,Partnered,High,reverse10,11
Hispanic,Cisgender Woman,Partnered,High,rand10,10
Hispanic,Cisgender Woman,Single,Low,baseline,16
Hispanic,Cisgender Woman,Single,Low,clamp10,15
Hispanic,Cisgender Woman,Single,Low,clamp20,13
Hispanic,Cisgender Woman,Single,Low,clamp50,13
Hispanic,Cisgender Woman,Single,Low,clamp50x5,
Hispanic,Cisgender Woman,Single,Low,rand10,16
Hispanic,Cisgender Woman,Single,High,baseline,10
Hispanic,Cisgender Woman,Single,High,reverse10,11
Hispanic,Cisgender Woman,Single,High,rand10,10
Asian,Cisgender Man,Partnered,Low,baseline,15
Asian,Cisgender Man,Partnered,Low,clamp10,13
Asian,Cisgender Man,Partnered,Low,clamp20,13
Asian,Cisgender Man,Partnered,Low,clamp50,13
Asian,Cisgender Man,Partnered,Low,clamp50x5,17
Asian,Cisgender Man,Partnered,Low,rand10,15
Asian,Cisgender Man,Partnered,High,baseline,9
Asian,Cisgender Man,Partnered,High,reverse10,9
Asian,Cisgender Man,Partnered,High,rand10,9
Asian,Cisgender Man,Single,Low,baseline,16
Asian,Cisgender Man,Single,Low,clamp10,13
Asian,Cisgender Man,Single,Low,clamp20,13
Asian,Cisgender Man,Single,Low,clamp50,13
Asian,Cisgender Man,Single,Low,clamp50x5,
Asian,Cisgender Man,Single,Low,rand10,16
Asian,Cisgender Man,Single,High,baseline,9
Asian,Cisgender Man,Single,High,reverse10,9
Asian,Cisgender Man,Single,High,rand10,9
Asian,Cisgender Woman,Partnered,Low,baseline,15
Asian,Cisgender Woman,Partnered,Low,clamp10,13
Asian,Cisgender Woman,Partnered,Low,clamp20,13
Asian,Cisgender Woman,Partnered,Low,clamp50,13
Asian,Cisgender Woman,Partnered,Low,clamp50x5,18
Asian,Cisgender Woman,Partnered,Low,rand10,15
Asian,Cisgender Woman,Partnered,High,baseline,9
Asian,Cisgender Woman,Partnered,High,reverse10,9
Asian,Cisgender Woman,Partnered,High,rand10,9
Asian,Cisgender Woman,Single,Low,baseline,16
Asian,Cisgender Woman,Single,Low,clamp10,16
Asian,Cisgender Woman,Single,Low,clamp20,14
Asian,Cisgender Woman,Single,Low,clamp50,13
Asian,Cisgender Woman,Single,Low,clamp50x5,
Asian,Cisgender Woman,Single,Low,rand10,16
Asian,Cisgender Woman,Single,High,baseline,10
Asian,Cisgender Woman,Single,High,reverse10,11
Asian,Cisgender Woman,Single,High,rand10,10
Multiracial,Cisgender Man,Partnered,Low,baseline,15
Multiracial,Cisgender Man,Partnered,Low,clamp10,13
Multiracial,Cisgender Man,Partnered,Low,clamp20,13
Multiracial,Cisgender Man,Partnered,Low,clamp50,13
Multiracial,Cisgender Man,Partnered,Low,clamp50x5,13
Multiracial,Cisgender Man,Partnered,Low,rand10,15
Multiracial,Cisgender Man,Partnered,High,baseline,9
Multiracial,Cisgender Man,Partnered,High,reverse10,9
Multiracial,Cisgender Man,Partnered,High,rand10,10
Multiracial,Cisgender Man,Single,Low,baseline,16
Multiracial,Cisgender Man,Single,Low,clamp10,13
Multiracial,Cisgender Man,Single,Low,clamp20,13
Multiracial,Cisgender Man,Single,Low,clamp50,13
Multiracial,Cisgender Man,Single,Low,clamp50x5,17
Multiracial,Cisgender Man,Single,Low,rand10,16
Multiracial,Cisgender Man,Single,High,baseline,10
Multiracial,Cisgender Man,Single,High,reverse10,10
Multiracial,Cisgender Man,Single,High,rand10,10
Multiracial,Cisgender Woman,Partnered,Low,baseline,15
Multiracial,Cisgender Woman,Partnered,Low,clamp10,13
Multiracial,Cisgender Woman,Partnered,Low,clamp20,13
Multiracial,Cisgender Woman,Partnered,Low,clamp50,13
Multiracial,Cisgender Woman,Partnered,Low,clamp50x5,13
Multiracial,Cisgender Woman,Partnered,Low,rand10,16
Multiracial,Cisgender Woman,Partnered,High,baseline,10
Multiracial,Cisgender Woman,Partnered,High,reverse10,10
Multiracial,Cisgender Woman,Partnered,High,rand10,10
Multiracial,Cisgender Woman,Single,Low,baseline,16
Multiracial,Cisgender Woman,Single,Low,clamp10,16
Multiracial,Cisgender Woman,Single,Low,clamp20,13
Multiracial,Cisgender Woman,Single,Low,clamp50,13
Multiracial,Cisgender Woman,Single,Low,clamp50x5,18
Multiracial,Cisgender Woman,Single,Low,rand10,16
Multiracial,Cisgender Woman,Single,High,baseline,10
Multiracial,Cisgender Woman,Single,High,reverse10,11
Multiracial,Cisgender Woman,Single,High,rand10,10
