race,gender,rel,ses,cond,phq8_total
White,Cisgender Man,Partnered,Low,baseline,16
White,Cisgender Man,Partnered,Low,clamp10,16
White,Cisgender Man,Partnered,Low,clamp50,12
White,Cisgender Man,Partnered,Low,rand10,16
White,Cisgender Man,Partnered,High,baseline,9
White,Cisgender Man,Single,Low,baseline,16
White,Cisgender Man,Single,Low,clamp10,16
White,Cisgender Man,Single,Low,clamp50,12
White,Cisgender Man,Single,Low,rand10,16
White,Cisgender Man,Single,High,baseline,9
White,Cisgender Woman,Partnered,Low,baseline,16
White,Cisgender Woman,Partnered,Low,clamp10,16
White,Cisgender Woman,Partnered,Low,clamp50,12
White,Cisgender Woman,Partnered,Low,rand10,16
White,Cisgender Woman,Partnered,High,baseline,10
White,Cisgender Woman,Single,Low,baseline,16
White,Cisgender Woman,Single,Low,clamp10,16
White,Cisgender Woman,Single,Low,clamp50,14
White,Cisgender Woman,Single,Low,rand10,16
White,Cisgender Woman,Single,High,baseline,11
Black,Cisgender Man,Partnered,Low,baseline,16
Black,Cisgender Man,Partnered,Low,clamp10,14
Black,Cisgender Man,Partnered,Low,clamp50,12
Black,Cisgender Man,Partnered,Low,rand10,16
Black,Cisgender Man,Partnered,High,baseline,9
Black,Cisgender Man,Single,Low,baseline,16
Black,Cisgender Man,Single,Low,clamp10,16
Black,Cisgender Man,Single,Low,clamp50,12
Black,Cisgender Man,Single,Low,rand10,16
Black,Cisgender Man,Single,High,baseline,9
Black,Cisgender Woman,Partnered,Low,baseline,16
Black,Cisgender Woman,Partnered,Low,clamp10,16
Black,Cisgender Woman,Partnered,Low,clamp50,12
Black,Cisgender Woman,Partnered,Low,rand10,16
Black,Cisgender Woman,Partnered,High,baseline,10
Black,Cisgender Woman,Single,Low,baseline,16
Black,Cisgender Woman,Single,Low,clamp10,16
Black,Cisgender Woman,Single,Low,clamp50,12
Black,Cisgender Woman,Single,Low,rand10,16
Black,Cisgender Woman,Single,High,baseline,10
Hispanic,Cisgender Man,Partnered,Low,baseline,15
Hispanic,Cisgender Man,Partnered,Low,clamp10,16
Hispanic,Cisgender Man,Partnered,Low,clamp50,12
Hispanic,Cisgender Man,Partnered,Low,rand10,15
Hispanic,Cisgender Man,Partnered,High,baseline,9
Hispanic,Cisgender Man,Single,Low,baseline,16
Hispanic,Cisgender Man,Single,Low,clamp10,16
Hispanic,Cisgender Man,Single,Low,clamp50,12
Hispanic,Cisgender Man,Single,Low,rand10,16
Hispanic,Cisgender Man,Single,High,baseline,10
Hispanic,Cisgender Woman,Partnered,Low,baseline,15
Hispanic,Cisgender Woman,Partnered,Low,clamp10,16
Hispanic,Cisgender Woman,Partnered,Low,clamp50,12
Hispanic,Cisgender Woman,Partnered,Low,rand10,15
Hispanic,Cisgender Woman,Partnered,High,baseline,11
Hispanic,Cisgender Woman,Single,Low,baseline,16
Hispanic,Cisgender Woman,Single,Low,clamp10,16
Hispanic,Cisgender Woman,Single,Low,clamp50,12
Hispanic,Cisgender Woman,Single,Low,rand10,16
Hispanic,Cisgender Woman,Single,High,baseline,10
Asian,Cisgender Man,Partnered,Low,baseline,15
Asian,Cisgender Man,Partnered,Low,clamp10,16
Asian,Cisgender Man,Partnered,Low,clamp50,12
Asian,Cisgender Man,Partnered,Low,rand10,15
Asian,Cisgender Man,Partnered,High,baseline,9
Asian,Cisgender Man,Single,Low,baseline,16
Asian,Cisgender Man,Single,Low,clamp10,16
Asian,Cisgender Man,Single,Low,clamp50,12
Asian,Cisgender Man,Single,Low,rand10,16
Asian,Cisgender Man,Single,High,baseline,9
Asian,Cisgender Woman,Partnered,Low,baseline,15
Asian,Cisgender Woman,Partnered,Low,clamp10,16
Asian,Cisgender Woman,Partnered,Low,clamp50,12
Asian,Cisgender Woman,Partnered,Low,rand10,15
Asian,Cisgender Woman,Partnered,High,baseline,9
Asian,Cisgender Woman,Single,Low,baseline,16
Asian,Cisgender Woman,Single,Low,clamp10,16
Asian,Cisgender Woman,Single,Low,clamp50,12
Asian,Cisgender Woman,Single,Low,rand10,16
Asian,Cisgender Woman,Single,High,baseline,10
Multiracial,Cisgender Man,Partnered,Low,baseline,15
Multiracial,Cisgender Man,Partnered,Low,clamp10,16
Multiracial,Cisgender Man,Partnered,Low,clamp50,12
Multiracial,Cisgender Man,Partnered,Low,rand10,15
Multiracial,Cisgender Man,Partnered,High,baseline,9
Multiracial,Cisgender Man,Single,Low,baseline,16
Multiracial,Cisgender Man,Single,Low,clamp10,16
Multiracial,Cisgender Man,Single,Low,clamp50,12
Multiracial,Cisgender Man,Single,Low,rand10,16
Multiracial,Cisgender Man,Single,High,baseline,10
Multiracial,Cisgender Woman,Partnered,Low,baseline,15
Multiracial,Cisgender Woman,Partnered,Low,clamp10,16
Multiracial,Cisgender Woman,Partnered,Low,clamp50,12
Multiracial,Cisgender Woman,Partnered,Low,rand10,16
Multiracial,Cisgender Woman,Partnered,High,baseline,10
Multiracial,Cisgender Woman,Single,Low,baseline,16
Multiracial,Cisgender Woman,Single,Low,clamp10,16
Multiracial,Cisgender Woman,Single,Low,clamp50,12
Multiracial,Cisgender Woman,Single,Low,rand10,16
Multiracial,Cisgender Woman,Single,High,baseline,10
