race,gender,rel,ses,cond,phq8_total
White,Cisgender Man,Partnered,Low,baseline,14
White,Cisgender Man,Partnered,Low,clamp10,14
White,Cisgender Man,Partnered,Low,clamp20,13
White,Cisgender Man,Partnered,Low,clamp50,13
White,Cisgender Man,Partnered,Low,clamp50x5,19
White,Cisgender Man,Partnered,Low,rand10,14
White,Cisgender Man,Partnered,High,baseline,4
White,Cisgender Man,Partnered,High,reverse10,5
White,Cisgender Man,Partnered,High,rand10,4
White,Cisgender Man,Single,Low,baseline,15
White,Cisgender Man,Single,Low,clamp10,15
White,Cisgender Man,Single,Low,clamp20,15
White,Cisgender Man,Single,Low,clamp50,15
White,Cisgender Man,Single,Low,clamp50x5,20
White,Cisgender Man,Single,Low,rand10,15
White,Cisgender Man,Single,High,baseline,5
White,Cisgender Man,Single,High,reverse10,5
White,Cisgender Man,Single,High,rand10,5
White,Cisgender Woman,Partnered,Low,baseline,15
White,Cisgender Woman,Partnered,Low,clamp10,15
White,Cisgender Woman,Partnered,Low,clamp20,16
White,Cisgender Woman,Partnered,Low,clamp50,15
White,Cisgender Woman,Partnered,Low,clamp50x5,19
White,Cisgender Woman,Partnered,Low,rand10,15
White,Cisgender Woman,Partnered,High,baseline,3
White,Cisgender Woman,Partnered,High,reverse10,3
White,Cisgender Woman,Partnered,High,rand10,3
White,Cisgender Woman,Single,Low,baseline,18
White,Cisgender Woman,Single,Low,clamp10,18
White,Cisgender Woman,Single,Low,clamp20,19
White,Cisgender Woman,Single,Low,clamp50,19
White,Cisgender Woman,Single,Low,clamp50x5,20
White,Cisgender Woman,Single,Low,rand10,19
White,Cisgender Woman,Single,High,baseline,4
White,Cisgender Woman,Single,High,reverse10,3
White,Cisgender Woman,Single,High,rand10,4
Black,Cisgender Man,Partnered,Low,baseline,14
Black,Cisgender Man,Partnered,Low,clamp10,14
Black,Cisgender Man,Partnered,Low,clamp20,13
Black,Cisgender Man,Partnered,Low,clamp50,13
Black,Cisgender Man,Partnered,Low,clamp50x5,19
Black,Cisgender Man,Partnered,Low,rand10,13
Black,Cisgender Man,Partnered,High,baseline,3
Black,Cisgender Man,Partnered,High,reverse10,3
Black,Cisgender Man,Partnered,High,rand10,3
Black,Cisgender Man,Single,Low,baseline,15
Black,Cisgender Man,Single,Low,clamp10,17
Black,Cisgender Man,Single,Low,clamp20,18
Black,Cisgender Man,Single,Low,clamp50,17
Black,Cisgender Man,Single,Low,clamp50x5,20
Black,Cisgender Man,Single,Low,rand10,17
Black,Cisgender Man,Single,High,baseline,3
Black,Cisgender Man,Single,High,reverse10,3
Black,Cisgender Man,Single,High,rand10,3
Black,Cisgender Woman,Partnered,Low,baseline,15
Black,Cisgender Woman,Partnered,Low,clamp10,19
Black,Cisgender Woman,Partnered,Low,clamp20,15
Black,Cisgender Woman,Partnered,Low,clamp50,19
Black,Cisgender Woman,Partnered,Low,clamp50x5,20
Black,Cisgender Woman,Partnered,Low,rand10,13
