race,gender,rel,ses,cond,phq8_total
White,Cisgender Man,Partnered,Low,baseline,11
White,Cisgender Man,Partnered,Low,clamp50_L18,12
White,Cisgender Man,Partnered,Low,rand10,11
White,Cisgender Man,Partnered,High,baseline,2
White,Cisgender Man,Single,Low,baseline,11
White,Cisgender Man,Single,Low,clamp50_L18,14
White,Cisgender Man,Single,Low,rand10,11
White,Cisgender Man,Single,High,baseline,2
White,Cisgender Woman,Partnered,Low,baseline,11
White,Cisgender Woman,Partnered,Low,clamp50_L18,12
White,Cisgender Woman,Partnered,Low,rand10,11
White,Cisgender Woman,Partnered,High,baseline,3
White,Cisgender Woman,Single,Low,baseline,11
White,Cisgender Woman,Single,Low,clamp50_L18,12
White,Cisgender Woman,Single,Low,rand10,11
White,Cisgender Woman,Single,High,baseline,2
Black,Cisgender Man,Partnered,Low,baseline,11
Black,Cisgender Man,Partnered,Low,clamp50_L18,12
Black,Cisgender Man,Partnered,Low,rand10,11
Black,Cisgender Man,Partnered,High,baseline,1
Black,Cisgender Man,Single,Low,baseline,11
Black,Cisgender Man,Single,Low,clamp50_L18,12
Black,Cisgender Man,Single,Low,rand10,11
Black,Cisgender Man,Single,High,baseline,1
Black,Cisgender Woman,Partnered,Low,baseline,11
Black,Cisgender Woman,Partnered,Low,clamp50_L18,12
Black,Cisgender Woman,Partnered,Low,rand10,11
Black,Cisgender Woman,Partnered,High,baseline,1
Black,Cisgender Woman,Single,Low,baseline,10
Black,Cisgender Woman,Single,Low,clamp50_L18,12
Black,Cisgender Woman,Single,Low,rand10,11
Black,Cisgender Woman,Single,High,baseline,2
Hispanic,Cisgender Man,Partnered,Low,baseline,11
Hispanic,Cisgender Man,Partnered,Low,clamp50_L18,15
Hispanic,Cisgender Man,Partnered,Low,rand10,11
Hispanic,Cisgender Man,Partnered,High,baseline,3
Hispanic,Cisgender Man,Single,Low,baseline,11
Hispanic,Cisgender Man,Single,Low,clamp50_L18,12
Hispanic,Cisgender Man,Single,Low,rand10,11
Hispanic,Cisgender Man,Single,High,baseline,3
Hispanic,Cisgender Woman,Partnered,Low,baseline,11
Hispanic,Cisgender Woman,Partnered,Low,clamp50_L18,13
Hispanic,Cisgender Woman,Partnered,Low,rand10,11
Hispanic,Cisgender Woman,Partnered,High,baseline,3
Hispanic,Cisgender Woman,Single,Low,baseline,11
Hispanic,Cisgender Woman,Single,Low,clamp50_L18,12
Hispanic,Cisgender Woman,Single,Low,rand10,11
Hispanic,Cisgender Woman,Single,High,baseline,3
Asian,Cisgender Man,Partnered,Low,baseline,11
Asian,Cisgender Man,Partnered,Low,clamp50_L18,12
Asian,Cisgender Man,Partnered,Low,rand10,11
Asian,Cisgender Man,Partnered,High,baseline,2
Asian,Cisgender Man,Single,Low,baseline,11
Asian,Cisgender Man,Single,Low,clamp50_L18,12
Asian,Cisgender Man,Single,Low,rand10,12
Asian,Cisgender Man,Single,High,baseline,2
Asian,Cisgender Woman,Partnered,Low,baseline,11
Asian,Cisgender Woman,Partnered,Low,clamp50_L18,13
Asian,Cisgender Woman,Partnered,Low,rand10,11
Asian,Cisgender Woman,Partnered,High,baseline,2
Asian,Cisgender Woman,Single,Low,baseline,11
Asian,Cisgender Woman,Single,Low,clamp50_L18,12
Asian,Cisgender Woman,Single,Low,rand10,11
Asian,Cisgender Woman,Single,High,baseline,2
Multiracial,Cisgender Man,Partnered,Low,baseline,11
Multiracial,Cisgender Man,Partnered,Low,clamp50_L18,12
Multiracial,Cisgender Man,Partnered,Low,rand10,11
Multiracial,Cisgender Man,Partnered,High,baseline,1
Multiracial,Cisgender Man,Single,Low,baseline,11
Multiracial,Cisgender Man,Single,Low,clamp50_L18,15
Multiracial,Cisgender Man,Single,Low,rand10,11
Multiracial,Cisgender Man,Single,High,baseline,9
Multiracial,Cisgender Woman,Partnered,Low,baseline,12
Multiracial,Cisgender Woman,Partnered,Low,clamp50_L18,15
Multiracial,Cisgender Woman,Partnered,Low,rand10,12
Multiracial,Cisgender Woman,Partnered,High,baseline,3
Multiracial,Cisgender Woman,Single,Low,baseline,11
Multiracial,Cisgender Woman,Single,Low,clamp50_L18,12
Multiracial,Cisgender Woman,Single,Low,rand10,11
Multiracial,Cisgender Woman,Single,High,baseline,1
