race,gender,rel,cond,phq8_total
White,Cisgender Man,Partnered,base_low,11
White,Cisgender Man,Partnered,base_high,2
White,Cisgender Man,Partnered,low_from_high_5L,8
White,Cisgender Man,Partnered,low_from_high_ALL,3
White,Cisgender Man,Partnered,high_from_low_5L,3
White,Cisgender Man,Single,base_low,11
White,Cisgender Man,Single,base_high,2
White,Cisgender Man,Single,low_from_high_5L,7
White,Cisgender Man,Single,low_from_high_ALL,1
White,Cisgender Man,Single,high_from_low_5L,3
White,Cisgender Woman,Partnered,base_low,11
White,Cisgender Woman,Partnered,base_high,3
White,Cisgender Woman,Partnered,low_from_high_5L,8
White,Cisgender Woman,Partnered,low_from_high_ALL,3
White,Cisgender Woman,Partnered,high_from_low_5L,8
White,Cisgender Woman,Single,base_low,11
White,Cisgender Woman,Single,base_high,2
White,Cisgender Woman,Single,low_from_high_5L,8
White,Cisgender Woman,Single,low_from_high_ALL,3
White,Cisgender Woman,Single,high_from_low_5L,8
Black,Cisgender Man,Partnered,base_low,11
Black,Cisgender Man,Partnered,base_high,1
Black,Cisgender Man,Partnered,low_from_high_5L,6
Black,Cisgender Man,Partnered,low_from_high_ALL,1
Black,Cisgender Man,Partnered,high_from_low_5L,2
Black,Cisgender Man,Single,base_low,11
Black,Cisgender Man,Single,base_high,1
Black,Cisgender Man,Single,low_from_high_5L,8
Black,Cisgender Man,Single,low_from_high_ALL,1
Black,Cisgender Man,Single,high_from_low_5L,1
Black,Cisgender Woman,Partnered,base_low,11
Black,Cisgender Woman,Partnered,base_high,1
Black,Cisgender Woman,Partnered,low_from_high_5L,6
Black,Cisgender Woman,Partnered,low_from_high_ALL,3
Black,Cisgender Woman,Partnered,high_from_low_5L,3
Black,Cisgender Woman,Single,base_low,10
Black,Cisgender Woman,Single,base_high,2
Black,Cisgender Woman,Single,low_from_high_5L,8
Black,Cisgender Woman,Single,low_from_high_ALL,3
Black,Cisgender Woman,Single,high_from_low_5L,9
Hispanic,Cisgender Man,Partnered,base_low,11
Hispanic,Cisgender Man,Partnered,base_high,3
Hispanic,Cisgender Man,Partnered,low_from_high_5L,8
Hispanic,Cisgender Man,Partnered,low_from_high_ALL,3
Hispanic,Cisgender Man,Partnered,high_from_low_5L,9
Hispanic,Cisgender Man,Single,base_low,11
Hispanic,Cisgender Man,Single,base_high,3
Hispanic,Cisgender Man,Single,low_from_high_5L,8
Hispanic,Cisgender Man,Single,low_from_high_ALL,3
Hispanic,Cisgender Man,Single,high_from_low_5L,9
Hispanic,Cisgender Woman,Partnered,base_low,11
Hispanic,Cisgender Woman,Partnered,base_high,3
Hispanic,Cisgender Woman,Partnered,low_from_high_5L,8
Hispanic,Cisgender Woman,Partnered,low_from_high_ALL,4
Hispanic,Cisgender Woman,Partnered,high_from_low_5L,7
Hispanic,Cisgender Woman,Single,base_low,11
Hispanic,Cisgender Woman,Single,base_high,3
Hispanic,Cisgender Woman,Single,low_from_high_5L,8
Hispanic,Cisgender Woman,Single,low_from_high_ALL,3
Hispanic,Cisgender Woman,Single,high_from_low_5L,8
Asian,Cisgender Man,Partnered,base_low,11
Asian,Cisgender Man,Partnered,base_high,2
Asian,Cisgender Man,Partnered,low_from_high_5L,8
Asian,Cisgender Man,Partnered,low_from_high_ALL,3
Asian,Cisgender Man,Partnered,high_from_low_5L,3
Asian,Cisgender Man,Single,base_low,11
Asian,Cisgender Man,Single,base_high,2
Asian,Cisgender Man,Single,low_from_high_5L,8
Asian,Cisgender Man,Single,low_from_high_ALL,2
Asian,Cisgender Man,Single,high_from_low_5L,3
Asian,Cisgender Woman,Partnered,base_low,11
Asian,Cisgender Woman,Partnered,base_high,2
Asian,Cisgender Woman,Partnered,low_from_high_5L,8
Asian,Cisgender Woman,Partnered,low_from_high_ALL,3
Asian,Cisgender Woman,Partnered,high_from_low_5L,9
Asian,Cisgender Woman,Single,base_low,11
Asian,Cisgender Woman,Single,base_high,2
Asian,Cisgender Woman,Single,low_from_high_5L,8
Asian,Cisgender Woman,Single,low_from_high_ALL,3
Asian,Cisgender Woman,Single,high_from_low_5L,8
Multiracial,Cisgender Man,Partnered,base_low,11
Multiracial,Cisgender Man,Partnered,base_high,1
Multiracial,Cisgender Man,Partnered,low_from_high_5L,8
Multiracial,Cisgender Man,Partnered,low_from_high_ALL,3
Multiracial,Cisgender Man,Partnered,high_from_low_5L,8
Multiracial,Cisgender Man,Single,base_low,11
Multiracial,Cisgender Man,Single,base_high,9
Multiracial,Cisgender Man,Single,low_from_high_5L,8
Multiracial,Cisgender Man,Single,low_from_high_ALL,3
Multiracial,Cisgender Man,Single,high_from_low_5L,8
Multiracial,Cisgender Woman,Partnered,base_low,12
Multiracial,Cisgender Woman,Partnered,base_high,3
Multiracial,Cisgender Woman,Partnered,low_from_high_5L,8
Multiracial,Cisgender Woman,Partnered,low_from_high_ALL,3
Multiracial,Cisgender Woman,Partnered,high_from_low_5L,8
Multiracial,Cisgender Woman,Single,base_low,11
Multiracial,Cisgender Woman,Single,base_high,1
Multiracial,Cisgender Woman,Single,low_from_high_5L,6
Multiracial,Cisgender Woman,Single,low_from_high_ALL,3
Multiracial,Cisgender Woman,Single,high_from_low_5L,3
